,id,title,address,introduction,latitude,longitude,dial_num,type,region1,region2,image_url,score,nature,outdoor,fatigue,sea,walking,exciting,day,culture,group,tag
13,14,한라산국립공원,제주특별자치도 제주시 1100로 2070-61,"한반도 3대 영산 중 하나, 유네스코가 지정한 
· 세계생물권보존지역
· 세계자연유산
· 세계지질공원",33.36132,126.54195,064-713-9950,관광지,제주시,제주시내,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/661b71dc-cdec-4eee-8ad4-240285460226.jpg,301297.0,3,3,3,0,3,0,3,1,7,"자연경관,사계절,포토스팟,걷기/등산,친구"
14,15,쇠소깍,제주특별자치도 서귀포시 쇠소깍로 128,제주 올레 5코스의 끝이자 6코스의 시작인 바닷물과 민물이 만나는 비밀스런 계곡,33.2522055,126.6231188,064-732-1562,관광지,서귀포시,서귀포시내,https://api.cdn.visitjeju.net/photomng/imgpath/202110/25/fdb6ffc6-f7b2-4d00-81aa-dd7f26bb2081.JPG,274980.0,2,3,2,0,0,3,3,0,11,"자연경관,체험,커플,맑음,액티비티,휴식/힐링,여름"
15,16,주상절리대(중문대포해안),제주특별자치도 서귀포시 이어도로 36-30,자연의 신비가 주는 웅장함에 압도되다,33.23834,126.42586,064-738-1521,관광지,서귀포시,중문,https://api.cdn.visitjeju.net/photomng/imgpath/202110/28/90f5c4dd-e3f7-4445-b1b4-eb9ddb307bcd.JPG,270792.0,3,3,1,2,1,0,3,1,3,"자연경관,커플,맑음,포토스팟,해변,친구"
16,17,정방폭포,제주특별자치도 서귀포시 칠십리로214번길 37,"높은곳에서 바다로 떨어지는 물줄기의 시원함
· 명승 제43호
· 올레6코스",33.244854,126.5718,064-733-1530,관광지,서귀포시,서귀포시내,https://api.cdn.visitjeju.net/photomng/imgpath/202110/26/b77e1b21-7e4c-407f-9fa7-6d0a08ab250f.jpg,234780.0,3,3,2,2,2,0,3,0,9,"포토스팟,자연경관,커플,여름"
17,18,에코랜드 테마파크,제주특별자치도 제주시 조천읍 번영로 1278-169,"기차를 타고 감상하는 곶자왈, 원시림 테마공원",33.4555296,126.6681873,064-802-8000,관광지,제주시,조천,https://api.cdn.visitjeju.net/photomng/imgpath/202110/21/ccba6a29-76b5-476c-b855-0473deb03e0e.png,229587.0,2,3,1,1,2,1,3,0,1,"봄,맑음,실내관광지,아이,가을"
18,19,애월한담해안산책로,제주특별자치도 제주시 애월읍 곽지리 1359,해안선을 따라 걷는 구불구불 해안길.,33.45906,126.3106,,관광지,제주시,애월,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/0de42691-8c5a-43e8-9f0e-ca0115322bca.jpg,221208.0,2,3,1,2,3,0,3,0,1,"자연경관,맑음,걷기/등산,해변,친구"
19,20,천제연폭포,제주특별자치도 서귀포시 천제연로 132(중문동),"칠선녀가 목욕을 하다 간다는 전설이 있는 폭포
· 서귀포시 중문동
· 천연기념물 제378호
· 올레8코스",33.25099,126.41689,064-760-6331,관광지,서귀포시,중문,https://api.cdn.visitjeju.net/photomng/imgpath/202110/26/1e88b507-377d-49b0-9d26-9aa7fc1004ed.jpg,220562.0,3,3,1,1,1,0,0,0,8,"커플,맑음,포토스팟,아이,여름"
20,21,산굼부리,제주특별자치도 제주시 조천읍 비자림로 768,"사계절마다 다른풍경의 '분화구 식물원', 국가지정 문화재 천연기념물 263호",33.4316207,126.6900058,064-783-9900,관광지,제주시,조천,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/c44bb372-4717-4e89-ad89-2c5dba285168.jpg,218812.0,3,3,3,0,3,0,3,0,7,"자연경관,맑음,걷기/등산,친구,가을"
21,22,오설록티뮤지엄,제주특별자치도 서귀포시 안덕면 신화역사로 15,"제주녹차문화의 중심, 차박물관과 카페테리아, 2016 KOREAT JEJU TOP 30 선정",33.3063942,126.2905203,064-794-5312,관광지,서귀포시,안덕,https://api.cdn.visitjeju.net/photomng/imgpath/201908/06/c3b686e5-4d17-46f4-9e96-1de49d6af809.jpg,204211.0,2,1,0,1,1,1,1,0,8,"커플,혼자,맑음,부모,실내관광지,아이,친구,휴식/힐링"
22,23,황우지해안,제주특별자치도 서귀포시 서홍동 766-1,선녀가 물놀이 했다는 전설이 있는 자연형성 풀장,33.241566,126.54981,064-760-4601,관광지,서귀포시,서귀포시내,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/0071520b-9cd5-4f07-8a83-4612ac077975.jpg,202611.0,3,3,2,2,2,2,3,0,9,"자연경관,체험,커플,해변,포토스팟,액티비티,친구,여름"
23,24,용머리해안,제주특별자치도 서귀포시 안덕면 사계리,"시간이 보여주는 위대함 속으로
· 천연기념물 제526호
· 올레10코스",33.2334272,126.313741,064-794-2940,관광지,서귀포시,안덕,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/60805d7f-b139-48e1-9174-03c688d7ba31.jpg,195279.0,3,3,1,2,3,0,3,0,1,"자연경관,커플,봄,맑음,부모,해변,휴식/힐링"
24,25,김녕해수욕장,제주특별자치도 제주시 구좌읍 구좌해안로 237,너럭바위 위에 생긴 김녕해수욕장,33.557926,126.75998,064-728-3987,관광지,제주시,구좌,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/a2c0bcf1-f5fa-4d5b-83c4-64b52e0f196b.jpg,185541.0,2,3,2,3,3,2,3,0,9,"자연경관,체험,해변,맑음,액티비티,아이,여름"
25,26,용눈이오름,제주특별자치도 제주시 구좌읍 종달논길,"능선의 아름다움을 뽐내는 오름, 김영갑 작가가 사랑한 오름",33.45993,126.831635,,관광지,제주시,구좌,https://api.cdn.visitjeju.net/photomng/imgpath/202110/21/05e48ec9-c59b-4a4e-90bc-4a540e6d0700.jpg,182848.0,3,3,2,0,3,0,2,1,7,"자연경관,걷기/등산,도보,친구,가을"
26,27,한라산영실코스,제주특별자치도 서귀포시 영실로 246,"가장 짧지만 가장 아름다운, 한라산 등산코스",33.3402,126.47921,064-747-9950,관광지,서귀포시,서귀포시내,https://api.cdn.visitjeju.net/photomng/imgpath/202110/26/616ce943-7b6c-45c9-afdd-3958fda0530d.jpg,168191.0,3,3,3,0,3,0,3,1,7,"자연경관,체험,커플,사계절,혼자,부모,포토스팟,친구"
27,28,한림공원,제주특별자치도 제주시 한림읍 한림로 300,10만 평 대지 위에 펼쳐지는 환상적인 10가지 테마파크.,33.3879944,126.2397837,064-796-0001,관광지,제주시,한림,https://api.cdn.visitjeju.net/photomng/imgpath/202205/30/e0145d42-16eb-4055-873c-ba683a16dede.jpg,163290.0,3,3,2,0,3,0,2,0,7,"아이,맑음,휴식/힐링,봄"
28,29,아쿠아플라넷 제주,제주특별자치도 서귀포시 성산읍 섭지코지로 95,450여종의 바다생명체가 있는 아시아 최대 수족관,33.43237,126.928215,1833-7001,관광지,서귀포시,성산,https://api.cdn.visitjeju.net/photomng/imgpath/202205/30/cdffe2fb-16d6-4464-aef7-90c599034bb1.jpg,163224.0,0,0,1,2,3,1,2,0,8,"실내관광지,아이,사계절"
29,30,메이즈랜드,제주특별자치도 제주시 구좌읍 비자림로 2134-47,"돌, 바람, 여자, 제주의 삼다를 녹인 미로공원",33.48875,126.80093,064-784-3838,관광지,제주시,구좌,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/7c3de5cb-b470-4518-be3f-a9904593b20f.jpg,161087.0,1,2,1,1,3,2,3,0,1,"부모,실내관광지,아이,포토스팟"
30,31,곽지해수욕장,제주특별자치도 제주시 애월읍 애월원당길 (곽지리),시원한 용천수를 뿜어내는 노천탕이 있는 곳,33.45122,126.3058,064-728-3985,관광지,제주시,애월,https://api.cdn.visitjeju.net/photomng/imgpath/202110/25/4e19a935-3794-4891-94a2-7e89759e14b3.jpg,160888.0,2,3,2,3,3,2,3,0,9,"자연경관,체험,해변,맑음,액티비티,아이,여름"
31,32,제주절물자연휴양림,제주특별자치도 제주시 명림로 584,삼나무 숲에서 즐기는 산림욕,33.439373,126.62845,064-728-1510,관광지,제주시,제주시내,https://api.cdn.visitjeju.net/photomng/imgpath/202110/26/a95f545a-5102-4163-aafe-9719dda9ffd9.jpg,158421.0,2,3,1,1,3,1,3,0,1,"자연경관,커플,걷기/등산,흐림,친구,휴식/힐링,여름"
32,33,제주실탄사격장,제주특별자치도 서귀포시 소보리당로 164번길 62(상예동),제주유일 실내 권총실탄사격장,33.2639753,126.3852041,064-739-7007,관광지,서귀포시,서귀포시내,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/2f18a4a3-7a91-4383-b529-b34d3dea29a3.png,150609.0,0,0,1,1,0,3,2,0,4,"체험,커플,실내관광지,액티비티,친구"
33,34,금능해수욕장,제주특별자치도 제주시 한림읍 금능길 119-10,"제주시 한림읍에 위치한 금능해수욕장은 서쪽의 인기 명소인 협재해수욕장과 바로 이어져 있다. 파란 물감을 풀어놓은 것 같은 바다부터 생김새가 귀여운 비양도, 촉감이 보슬거리는 모래사장까지 이웃한 해변과 비슷한 풍경을 품고 있지만 그보다 사람이 붐비지 않아 여유로운 것이 매력이다. ",33.390003,126.23591,064-728-3983,관광지,제주시,한림,https://api.cdn.visitjeju.net/photomng/imgpath/202110/25/37a29724-f256-403b-ac0e-3f6207fae2e1.JPG,147218.0,2,3,2,3,3,2,3,0,9,"자연경관,체험,해변,맑음,액티비티,아이,여름"
34,35,산방굴사,제주특별자치도 서귀포시 안덕면 사계리 산 16,불상이 있어 사찰로 불리는 아름다운 풍광을 가진 산방굴사,33.243855,126.31332,064-760-6321,관광지,서귀포시,안덕,https://api.cdn.visitjeju.net/photomng/imgpath/202111/12/0ff17322-5323-4be7-911f-c2c737e2cd9d.jpg,147123.0,2,3,2,1,2,0,3,3,6,"부모,맑음,문화관광"
35,36,아라고나이트 온천(디아넥스호텔),제주특별자치도 서귀포시 안덕면 산록남로762번길 71,무더운 여름 시원한 수영장을 자연스레 찾는 것처럼 겨울철에는 뜨끈한 온수에 몸을 담그고 피로를 푸는 경우가 있다. 2001년 전까지만 해도 전문가들은 “제주도에는 온천 부존 가능성이 없다”고 했다. 하지만 이 정설을 뒤집고 제주에서 유일하게 아라고나이트 고온천수가 발견되었다. 수억 년 전 역사로 거슬러 올라가는 아라고나이트 고온천수 시설은 디아넥스호텔이 자부하는 최고의 힐링시설이다. 이 온천수는 300만 년 전에 모양을 갖춘 지하 화강암 위에 순수한 물이 제주 땅 중심으로 스며들면서 각종 미네랄을 함유하며 생성되었다는 게 전문가들의 의견.,33.303474,126.39206,064-793-6005,관광지,서귀포시,안덕,https://api.cdn.visitjeju.net/photomng/imgpath/202011/03/40a75124-90a5-4d33-9617-8542d8119276.jpg,144367.0,1,1,0,2,0,0,2,0,2,"부모,실내관광지,휴식/힐링"
36,37,용두암,제주특별자치도 제주시 용두암길 15,"용이 승천하려다 뜻을 이루지 못했다는 전설을 담고 있는 곳
· 제주도기념물 제57호
· 올레17코스",33.5149624,126.5116869,,관광지,제주시,제주시내,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/1ba2e146-ef7a-4281-b27a-2a474b5705d4.jpg,141340.0,3,3,1,3,2,0,3,1,9,"자연경관,맑음,포토스팟,해변"
37,38,산방산탄산온천,제주특별자치도 서귀포시 안덕면 사계북로 41번길 192,"제주 유일, 국내 최고의 탄산온천, 제주 산방산탄산온천",33.248665,126.29896,064-792-8300,관광지,서귀포시,안덕,https://api.cdn.visitjeju.net/photomng/imgpath/202111/19/07c8d978-3c3c-49e1-9ae5-9b4b7a92ab61.jpg,138315.0,1,1,0,2,0,0,2,0,2,"자연경관,부모,실내관광지,흐림,아이,휴식/힐링"
38,39,이호테우말등대,제주특별자치도 제주시 서해안로 58,"이호테우해변의 랜드마크, 말등대",33.5021596,126.4564505,--,관광지,제주시,제주시내,https://api.cdn.visitjeju.net/photomng/imgpath/202110/27/82e2c2ee-3c94-48ca-9890-56a075107602.jpg,135970.0,2,3,0,3,1,1,3,0,9,"포토스팟,맑음,커플,가을"
39,40,보롬왓,제주특별자치도 서귀포시 표선면 번영로 2350-104,아름다운 꽃을 배경으로 사진 찍을  수 있는 곳이다.,33.41367,126.75351,010-7362-2345,관광지,서귀포시,표선,https://api.cdn.visitjeju.net/photomng/imgpath/202110/29/e478e6c4-4a5f-40ec-9ded-36da33da5d9b.JPG,135522.0,2,3,1,1,2,1,3,0,1,"자연경관,커플,봄,포토스팟,친구,휴식/힐링,여름,가을"
40,41,휴애리 자연생활공원,"제주특별자치도 서귀포시 남원읍 신례동로 256 (신례리, 휴애리)",자연속 동·식물들과 교감이 있는 체험형 자연생활공원,33.30854,126.63448,064-732-2114,관광지,서귀포시,남원,https://api.cdn.visitjeju.net/photomng/imgpath/202110/28/5d911db1-f7e7-4ea2-aab8-0b07d555940f.jpg,133640.0,2,3,1,1,1,2,3,0,11,"자연경관,봄,맑음,아이,휴식/힐링"
41,42,제주김녕미로공원,제주특별자치도 제주시 구좌읍 만장굴길 122,사계절 푸르른 랠란디나무로 이루어진 우리나라 최초의 미로공원,33.53653,126.77213,064-782-9266,관광지,제주시,구좌,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/1ce09b4f-b5d5-4669-a953-2c2e238170fc.gif,132333.0,2,3,1,1,1,3,3,0,11,"자연경관,맑음,아이,봄"
42,43,아침미소목장,제주특별자치도 제주시 첨단동길 160-20,"제주시 근교에 자리한 아침미소목장은 건강한 젖소들이 자라는 친환경 목장이다. 넓은 초원에 소들을 방목해 키우며 들판 너머 한라산이 보이는 풍경이 평화롭다. 목장 안에 경치 좋은 카페가 있어 목가적인 분위기를 즐기며 느긋하게 쉬어가기도 좋다. 이곳에서 직접 짠 우유와 요구르트, 치즈 제품들을 맛볼 수 있다.",33.45444,126.58662,064-727-2545,관광지,제주시,제주시내,https://api.cdn.visitjeju.net/photomng/imgpath/202111/01/11fe3cc5-450b-4f3a-ab14-11a9e0b6d284.JPG,129749.0,2,3,1,1,1,2,3,0,11,"아이,맑음,체험,봄"
43,44,백록담,제주특별자치도 서귀포시 토평동 산 15-1,"순상화산의 원지형이 잘 보존된 국내 가장 높은 산정화구호
· 세계생물권보존지역
· 세계자연유산
· 세계지질공원",33.362293,126.53332,064-756-9950~1,관광지,서귀포시,서귀포시내,https://api.cdn.visitjeju.net/photomng/imgpath/202111/01/505c302c-fca0-4ca2-bf71-b4875fa289d6.jpg,129199.0,3,3,3,0,3,0,3,1,7,"자연경관,커플,사계절,혼자,맑음,포토스팟,친구"
44,45,세화해변,제주특별자치도 제주시 구좌읍 해녀박물관길 27,인생 사진을 남길 수 있는 인생 바다,33.52530490304795,126.86127604404146,064-728-7783,관광지,제주시,구좌,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/b9bc001a-345f-4622-9388-89c6d741084a.jpg,128742.0,3,3,1,3,3,1,3,0,9,"자연경관,커플,맑음,해변,휴식/힐링,여름"
45,46,김경숙해바라기농장,제주특별자치도 제주시 번영로 854-1,노란 물결의 해바라기가 펼쳐진 해바라기 농장,33.47736,126.62767,064-721-1482,관광지,제주시,제주시내,https://api.cdn.visitjeju.net/photomng/imgpath/201908/05/7336b9e2-aff4-4800-aa07-30092f869863.jpg,128613.0,2,3,1,1,3,1,3,0,1,"자연경관,커플,혼자,부모,포토스팟,아이,친구,여름"
46,47,제주조천스위스마을,제주특별자치도 제주시 조천읍 함와로 566-27,제주에서 느껴보는 스위스 색채와 감성,33.4932304,126.6769248,064-744-6060,관광지,제주시,조천,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/a6ddfc1a-ed7e-4dc6-b346-dc549fd249d6.jpg,126815.0,0,2,1,1,2,1,2,0,8,"커플,맑음,포토스팟,여름"
47,48,백약이오름,제주특별자치도 서귀포시 표선면 성읍리 산 1,"하늘로 향하는 길, 백약이오름",33.437283,126.79018,064-760-4451,관광지,서귀포시,표선,https://api.cdn.visitjeju.net/photomng/imgpath/202110/29/de4fff5a-1277-4dba-abdd-285de85762a3.jpg,125708.0,3,3,3,0,2,0,3,1,7,"자연경관,커플,걷기/등산,도보,친구"
48,49,외돌개,제주특별자치도 서귀포시 서홍동 791,"바다위에 홀로 우뚝, 우직한 외돌개
· 명승 제79호
· 올레7코스",33.240063,126.54573,064-760-3192,관광지,서귀포시,서귀포시내,https://api.cdn.visitjeju.net/photomng/imgpath/202110/26/a434d9b2-a595-485f-89d6-1423bd989912.jpg,125459.0,3,3,1,2,2,0,3,1,9,"자연경관,맑음,포토스팟,해변,휴식/힐링,가을"
49,50,제주레일바이크,제주특별자치도 제주시 구좌읍 용눈이오름로 641,천천히 구좌읍의 풍경을 담는 여행,33.4646743,126.8369662,064-783-0033,관광지,제주시,구좌,https://api.cdn.visitjeju.net/photomng/imgpath/202111/04/df1eaad9-1cb5-4d22-ae74-92edf0e6a860.jpg,122855.0,0,2,2,1,0,3,3,0,11,"체험,포토스팟,액티비티,친구,가을"
50,51,서귀포치유의숲,제주특별자치도 서귀포시 산록남로 2271,"편백나무와 삼나무숲길을 걸으며 치유의 순간을 만나다. 
2019, 2020 정부 문화체육관광부가 지정한 '열린관광지'에도 지정되어 있다!",33.292,126.52941,064-760-3067,관광지,서귀포시,서귀포시내,https://api.cdn.visitjeju.net/photomng/imgpath/202108/03/9a5522ac-1451-43bf-a18d-31806b892da1.jpg,120858.0,3,3,1,1,3,0,3,0,1,"부모,자연경관,도보,걷기/등산"
51,52,광치기해변,제주특별자치도 서귀포시 성산읍 섭지코지로 63,성산일출봉과 독특한 해안지형이 어우러져 이색적인 풍광을 간직한 곳,33.452452755358465,126.92458139419556,--,관광지,서귀포시,성산,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/315ce1af-1c6c-4977-8668-4710321df6a1.jpg,120266.0,3,3,1,3,1,0,3,1,9,"자연경관,봄,포토스팟,흐림,해변"
52,53,마라도(마라해양도립공원),제주특별자치도 서귀포시 대정읍 마라로101번길 46,"난대성 해양 동식물이 풍부하고 경관이 아름다운 유인도 중에 국토 최남단인 섬, 천연기념물 제423호",33.1170928491147,126.26747322880556,064-760-4014,관광지,서귀포시,대정,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/c88bc373-ce5d-418f-9635-b6afb4dbb394.jpg,119453.0,3,3,2,2,3,1,3,0,9,"자연경관,맑음,부모,아이,휴식/힐링,가을"
53,54,렛츠런파크,제주특별자치도 제주시 애월읍 평화로 2144,렛츠런파크 제주는 천연기념물 제347호인 ‘제주마’의 보호 및 육성을 위해 1990년 개장된 테마공원이다.,33.40782,126.39421,064-786-8114,관광지,제주시,애월,https://api.cdn.visitjeju.net/photomng/imgpath/202111/19/b5d32881-a414-484d-a0df-265d40315e7c.jpg,118312.0,0,1,1,1,0,3,2,0,4,"액티비티,맑음,체험,아이"
54,55,중문관광단지,제주특별자치도 서귀포시 중문관광로72번길 35,볼거리와 체험이 가득한 중문관광단지,33.248535,126.41039,,관광지,서귀포시,중문,https://api.cdn.visitjeju.net/photomng/imgpath/202111/01/986c8136-faec-4682-b3a6-fc1d6251df3f.jpg,117426.0,1,1,1,2,1,3,2,0,4,"부모,아이,커플"
55,56,중문색달해수욕장,제주특별자치도 서귀포시 중문관광로72번길 29-51,"제주올레 8코스, 여유롭고 이국적인 해수욕장",33.24499,126.41159,064-760-4993,관광지,서귀포시,중문,https://api.cdn.visitjeju.net/photomng/imgpath/202110/27/e304944c-29c1-44a1-b0a1-76386e7376fe.jpg,115910.0,2,3,2,3,3,2,3,0,9,"자연경관,체험,해변,맑음,액티비티,친구,여름"
56,57,제주4.3평화공원,제주특별자치도 제주시 명림로 430,반드시 기억해야 할 우리 제주의 역사가 담긴 제주 4.3 평화공원,33.45058,126.61812,064-723-4344,관광지,제주시,제주시내,https://api.cdn.visitjeju.net/photomng/imgpath/202108/10/cd2d8fb9-4397-4838-9782-d4bdcf831b73.jpg,114136.0,1,0,1,1,0,0,1,3,5,"커플,혼자,맑음,부모,실내관광지,흐림,아이,친구"
57,58,성읍민속마을,제주특별자치도 서귀포시 표선면 성읍정의현로 19,문화유산과 조화롭게 살아가는 성읍주민들의 모습에서 제주의 옛모습을 엿보다,33.384453,126.800385,064-760-3578,관광지,서귀포시,표선,https://api.cdn.visitjeju.net/photomng/imgpath/202111/04/cddacb5a-472d-4d5d-b5af-3c9457cc20d3.jpg,111068.0,1,3,2,1,2,0,3,1,6,"자연경관,문화관광,봄,부모,아이"
58,59,애월해안도로,제주특별자치도 제주시 애월읍 애월해안로,"도보, 자전거, 자동차 뭐든 좋은 서부해안도로",33.47822,126.36656,064-728-3394,관광지,제주시,애월,https://api.cdn.visitjeju.net/photomng/imgpath/202110/25/acaf6312-55e6-4443-9a50-cdf8c68bf458.JPG,110301.0,2,3,2,2,2,1,2,0,9,"자연경관,커플,맑음,해변,여름"
59,60,산방산,제주특별자치도 서귀포시 안덕면 사계리 산 16,"설문대할망이 한라산 꼭대기를 뽑아 던져놓았다는 산방산 
· 명승 제77호
· 천연기념물 제376호
· 올레10코스",33.236614,126.31289,064-794-2940,관광지,서귀포시,안덕,https://api.cdn.visitjeju.net/photomng/imgpath/202110/26/49527805-363a-4061-b86e-8c32cbe66fc6.jpg,109973.0,2,3,2,0,2,0,3,1,7,"자연경관,맑음,걷기/등산,가을"
60,61,이중섭거리,제주특별자치도 서귀포시 이중섭로 4-1 (서귀동),이중섭 미술관과 이중섭 거주지를 중심으로 조성된 문화거리,33.2476269,126.5641044,--,관광지,서귀포시,서귀포시내,https://api.cdn.visitjeju.net/photomng/imgpath/202111/02/2cc9805f-91c9-4140-801e-78675f175613.jpg,109543.0,0,2,1,1,2,1,3,2,6,"커플,맑음,걷기/등산,가을"
